Fy17,Fy18,Fy19,Fy20,Fy21,Name,Name (largecap alpha.csv),Sub-Sector,Ticker,Ticker (largecap alpha.csv),5y Cagr,Alpha,Beta,Close Price,Market Cap,No. of Shareholders,PE Ratio,Pledged Promoter Holdings,Promoter Holding Change – 3M,Total Revenue
-28559,-2494,-51280,18360,-79652,Reliance Industries Ltd,Reliance Industries Ltd,Oil & Gas - Refining & Marketing,RELIANCE,RELIANCE,36.37349349,17.03231687,1.152221935,2548.05,1695633.593,3204334,34.5146066,0,0.004800551,505153
,,,,,RL,RL,Oil & Gas - Refining & Marketing,RL,RL,,,,1900.3,1695633.593,,,,,
23234,23205,26362,29639,35727,Tata Consultancy Services Ltd,Tata Consultancy Services Ltd,IT Services & Consulting,TCS,TCS,26.04539802,10.90728135,0.634774845,3779.15,1397927,1130834,43.1059821,0.341522426,0,167311
16123.84,16366.61,-64492.15,-18504.96,40780.31,HDFC Bank Ltd,HDFC Bank Ltd,Private Banks,HDFCBANK,HDFCBANK,20.10624835,-2.791339718,1.090990475,1615.05,894326.1675,1522687,28.0941334,0,-0.080486556,155885.27
8771,11220,12396,13696,21117,Infosys Ltd,Infosys Ltd,IT Services & Consulting,INFY,INFY,26.90402666,17.79097871,0.610133105,1687.1,709995.5183,1642810,36.69037871,0,0.004788496,102673
4072,5164,5033,6761,5000,Hindustan Unilever Ltd,Hindustan Unilever Ltd,FMCG - Household Products,HINDUNILVR,HINDUNILVR,25.15183629,12.74353108,0.2339756,2723.85,639993.4159,795448,80.04920774,0,-0.000553758,47555
-14454.57,-58175.55,-44513.19,-27157.16,-27435.11,Housing Development Finance Corporation Ltd,Housing Development Finance Corporation Ltd,Home Financing,HDFC,HDFC,14.52768433,-5.811667236,1.156047047,2804.95,507121.763,662818,27.06083988,0,0,145992.71
51318.82,18340.79,47522.9,77691.3,136327.09,ICICI Bank Ltd,ICICI Bank Ltd,Private Banks,ICICIBANK,ICICIBANK,24.78306978,2.707184019,1.308879793,717.15,497285.9557,1360832,27.0494762,0,0,161336.47
-10588.09,-20700.54,-29459.05,-24919.57,-1190.44,Bajaj Finance Ltd,Bajaj Finance Ltd,Consumer Finance,BAJFINANCE,BAJFINANCE,46.80924241,22.16468387,1.833533531,7543.3,454538.6127,488763,102.8409783,0,-0.093616153,26683.05
12818.01,-10818.25,1297.42,46166.21,4512.54,Kotak Mahindra Bank Ltd,Kotak Mahindra Bank Ltd,Private Banks,KOTAKBANK,KOTAKBANK,21.46295447,5.510453061,1.023315669,2068.2,410639.9771,492318,41.10423876,0,-0.011124357,56814.77
-9590.4,3553,-9407.3,-2588.1,20947.4,Bharti Airtel Ltd,Bharti Airtel Ltd,Telecom Services,BHARTIARTL,BHARTIARTL,19.14259939,23.06068105,0.751787193,696.15,409411.0871,764552,-27.14297657,0,0,112386.1
72982.29,-96507.91,26550.5,20863.52,86090.91,State Bank of India,State Bank of India,Public Banks,SBIN,SBIN,11.88484665,-4.958678854,1.458149031,444.9,397055.454,2687500,17.72137824,0,-0.007406814,385337.89
7192,6236.3,9353.5,7714.6,12797.3,Wipro Ltd,Wipro Ltd,IT Services & Consulting,WIPRO,WIPRO,28.66493946,21.04637211,0.34891922,639.6,349353.1064,870328,32.35829595,0,-0.001350503,64338.6
5074,2984,5506,11493,17714,HCL Technologies Ltd,HCL Technologies Ltd,IT Services & Consulting,HCLTECH,HCLTECH,26.09067813,15.1635729,0.810553795,1269,344364.1007,635949,30.89852855,0,0,76306
843.2,687.46,1318.75,2634.61,3401.48,Asian Paints Ltd,Asian Paints Ltd,Paints,ASIANPAINT,ASIANPAINT,23.18630022,26.76443426,0.60213625,3379.7,324180.0771,492867,103.2654126,4.768288926,0,22044.44
7505.7,10291.2,9414.29,12248.51,10690.45,ITC Ltd,ITC Ltd,FMCG - Tobacco,ITC,ITC,-0.756448132,-10.5744729,0.733976235,237.75,292915.7578,2630128,22.25602379,0,0,51905.34
-189.74,-185.64,-609.96,-432.03,-654.28,Avenue Supermarts Ltd,Avenue Supermarts Ltd,Retail - Department Stores,DMART,DMART,,28.75091675,0.432829964,4315.75,279563.3623,345515,254.2663983,0,0,24339.27
-10922.24,-19580.16,-27722.88,-24248.35,4076.55,Bajaj Finserv Ltd,Bajaj Finserv Ltd,Insurance,BAJAJFINSV,BAJAJFINSV,40.24639198,21.4199145,1.747927347,17550.35,278420.8233,192219,62.28012852,0,3.27E-05,60591.57
3678.17,-12908.19,-9063.21,3257.06,21036.44,Larsen & Toubro Ltd,Larsen & Toubro Ltd,Construction & Engineering,LT,LT,12.34645245,-4.550696803,1.157453379,1737.15,244009.8188,1369379,21.0663294,0,0,147646.3
31434.91,-39245.28,36244.88,29311.37,11694.44,Axis Bank Ltd,Axis Bank Ltd,Private Banks,AXISBANK,AXISBANK,7.524424452,-13.99203953,1.473423323,789.2,242019.6532,623618,33.63481577,0,-1.891968047,80847.94
6890.8,7876.3,1728.5,58.8,6485.9,Maruti Suzuki India Ltd,Maruti Suzuki India Ltd,Four Wheelers,MARUTI,MARUTI,6.098612185,-16.62187065,1.166089321,7423.85,224259.7053,442482,51.09469033,0,0,73477.3
3602.69,1785.06,4147.61,7206.61,10575.37,UltraTech Cement Ltd,UltraTech Cement Ltd,Cement,ULTRACEMCO,ULTRACEMCO,13.8184947,8.921440046,0.898799599,7588.3,218900.2569,313102,40.06887243,0,-0.000218117,45605.06
,,,,,Titan Company Ltd,Titan Company Ltd,"Precious Metals, Jewellery & Watches",TITAN,TITAN,39.04461632,14.27756891,0.95931813,2129.3,189036.307,364729,194.2819189,0,0,21830
1258.9,1619.23,1886.47,2140.73,1976.12,Nestle India Ltd,Nestle India Ltd,FMCG - Foods,NESTLEIND,NESTLEIND,25.19596057,16.36176436,0.265468509,19544.75,188442.1065,167109,90.49144823,0,0,13495.88
3389.35,1946.37,-1016.37,5012.77,5000.24,Sun Pharmaceutical Industries Ltd,Sun Pharmaceutical Industries Ltd,Pharmaceuticals,SUNPHARMA,SUNPHARMA,0.267912076,3.307182137,0.651490892,775.1,185972.4535,757366,64.04407075,3.466237772,0,34357.31
-888.79,-3779.63,-1244.76,-1434,-4542,Adani Green Energy Ltd,Adani Green Energy Ltd,Renewable Energy,ADANIGREEN,ADANIGREEN,,121.4374163,,1144.5,179001.4343,230977,852.3877826,0.46892155,1.178922356,3599
,,,,,Oil and Natural Gas Corporation Ltd,Oil and Natural Gas Corporation Ltd,Oil & Gas - Exploration & Production,ONGC,ONGC,-3.252725164,-12.68888056,1.193937145,142.2,178891.5703,1201708,11.00959956,0,0,315262.13
,,,,,Adani Transmission Ltd,Adani Transmission Ltd,Power Infrastructure,ADANITRANS,ADANITRANS,107.7496169,76.70829724,1.97329319,1549.9,170459.5648,127137,139.2597993,6.178483726,0,11041.74
,,,,,Adani Enterprises Ltd,Adani Enterprises Ltd,Commodities Trading,ADANIENT,ADANIENT,83.67275266,68.54765728,1.66320067,1487.3,163574.7536,222685,177.2899003,3.37650696,0,40290.93
,,,,,JSW Steel Ltd,JSW Steel Ltd,Iron & Steel,JSWSTEEL,JSWSTEEL,30.06013911,2.197846049,1.051684403,660.85,159090.4915,657659,20.11003559,6.501152084,0,80432
,,,,,Adani Total Gas Ltd,Adani Total Gas Ltd,Gas Distribution,ATGL,ATGL,,106.0363084,,1409.5,155018.2312,187869,334.9428097,0,0,1739.96
,,,,,Tata Steel Ltd,Tata Steel Ltd,Iron & Steel,TATASTEEL,TATASTEEL,30.28332971,11.10363255,1.232479099,1280.95,154121.0257,1021774,20.57630159,0.533166352,0,157690.66
,,,,,Adani Ports and Special Economic Zone Ltd,Adani Ports and Special Economic Zone Ltd,Ports,ADANIPORTS,ADANIPORTS,22.20803516,17.9474627,1.256569304,738.7,150824.2026,716271,30.19926768,9.183502548,0.0536721,15235.07
6182.33,6705.4,9823.17,7349.08,9641.63,HDFC Life Insurance Company Ltd,HDFC Life Insurance Company Ltd,Insurance,HDFCLIFE,HDFCLIFE,,11.18616789,0.847822844,725.8,146799.7476,808253,107.8719845,0,-5.021869668,71973.08
3303.2,2536.9,3627.4,3513.5,7427.8,Tech Mahindra Ltd,Tech Mahindra Ltd,IT Services & Consulting,TECHM,TECHM,26.27104385,13.96411627,0.627328388,1414.05,137114.0708,545613,30.96523731,0,-0.026887948,38643.4
,,,,,Hindustan Zinc Ltd,Hindustan Zinc Ltd,Mining - Diversified,HINDZINC,HINDZINC,10.37293306,1.288632717,0.585398428,321.7,136079.1,212428,17.0525188,14.82,0,24448
,,,,,Power Grid Corporation of India Ltd,Power Grid Corporation of India Ltd,Power Transmission & Distribution,POWERGRID,POWERGRID,6.567406178,-0.580093309,0.488341653,183.95,128313.4554,671110,10.66039811,0,0,41502.4
-4233.3,903.33,-2921.25,5659.23,9131.72,NTPC Ltd,NTPC Ltd,Power Generation,NTPC,NTPC,0.728033522,-11.95016456,0.674773879,131.95,127947.5096,805693,8.742790876,0,0,118213.84
,,,,,Divi's Laboratories Ltd,Divi's Laboratories Ltd,Labs & Life Sciences Services,DIVISLAB,DIVISLAB,29.40655971,35.32491809,0.308830386,4784.05,127001.496,193883,64.00349546,0,0,7031.96
,,,,,Pidilite Industries Ltd,Pidilite Industries Ltd,Diversified Chemicals,PIDILITIND,PIDILITIND,28.45513979,21.31223693,0.596861937,2411,122515.7799,321594,108.3050715,0,-0.034930398,7376.09
8376.65,10287.53,13323.52,19209.53,23762.91,SBI Life Insurance Company Ltd,SBI Life Insurance Company Ltd,Insurance,SBILIFE,SBILIFE,,15.74548053,0.837111046,1210.3,121055.8173,383487,83.15129805,0,-0.004151118,82779.7
,,,,,Tata Motors Ltd - DVR,Tata Motors Ltd - DVR,Four Wheelers,TATAMTRDVR,TATAMTRDVR,-12.80755994,-3.774066911,1.67434326,171.9,118078.8995,267387,-9.03266642,0,0,252437.94
14127.47,-11221.5,-16412.77,-3069.09,8795.11,Tata Motors Ltd,Tata Motors Ltd,Four Wheelers,TATAMOTORS,TATAMOTORS,-9.418482064,-3.76437305,1.785383937,329.3,118078.8995,2080875,-8.778193145,0.845177676,0,254329.93
22774.28,18588.64,2412.67,-5191.18,43295.57,Indian Oil Corporation Ltd,Indian Oil Corporation Ltd,Oil & Gas - Refining & Marketing,IOC,IOC,-3.632620033,-10.05521989,0.863472302,122.95,115747.0839,940651,5.34919866,0,0,368645.94
3061.74,4131.42,2302.55,3553.7,2860.29,Bajaj Auto Ltd,Bajaj Auto Ltd,Two Wheelers,BAJAJ-AUTO,BAJAJ-AUTO,6.050211521,1.456561807,0.946440476,3908.7,113104.8871,154309,23.28688931,0.004776633,0,29323.86
736.92,884.54,1264.78,1196.16,1803.46,Dabur India Ltd,Dabur India Ltd,FMCG - Personal Products,DABUR,DABUR,18.00748967,6.583794685,0.420842193,626.35,110729.6908,318852,65.39283695,0,-0.016246911,9871.89
5448.22,-7428.61,-5837.53,11543.47,11049.84,Grasim Industries Ltd,Grasim Industries Ltd,Cement,GRASIM,GRASIM,11.05027595,4.253446948,0.920933904,1648.75,108302.3401,236831,25.15838993,0,0.263140047,77876.45
1679.93,1411.86,1521.12,1436.09,1865.77,Godrej Consumer Products Ltd,Godrej Consumer Products Ltd,FMCG - Personal Products,GODREJCP,GODREJCP,14.55937803,5.550256326,0.603849001,1053.35,107709.6069,184980,62.59202411,0.416990439,0,11137.78
